Text,Polarity
আমাদের সজাগ থাকতে হবে টিকা নেওয়া নিয়ে। ,1
ভ্যাকসিন ভালো না।,0
আমার পরিবারের সকলেই টিকা নিয়েছে। ,1
টিকা লক্ষণীয় রোগ প্রতিরোধে একইভাবে উচ্চ কার্যকারিতা রয়েছে।,1
অনলাইনে আবেদন করে আমি ভ্যাকসিন নিয়েছি। ,1
নিজে সচেতন হই এবং অন্যকে সচেতন হতে সাহায্য করি।সবাই মাস্ক ব্যবহার করি।আল্লাহ আমাদের সহায় হওক। অন্যদের টিকা গ্রহণে উৎসাহিত করুন। আমিন,1
আমাদের সতর্ক থাকতে হবে টিকা প্রদান নিয়ে। অনেক টিকা শরীরের ক্ষতিও করে।,0
টিকা নিয়ে যদি অসুস্থ হয়ে পরি তখন আমার বাচ্চাদের খাওয়াবে কে। আপনি?,0
গনটিকা প্রদানের যে পরকিল্পনা গ্রহণ করা হয়েছে সেটি সাধুবাদযোগ্য।,1
"আমার দ্বিতীয় ডোজ দেয়া হয়েছে। এখন বুস্টার ডোজ নিতে
চাই।",1
আমার বয়স ৯০। আমি টিকা নিয়েছি।,1
নির্ভয়ে টিকা নিয়ে নির্ভয়ে এখন বেঁচে আছি। ,1
"টিকা নেওয়ার আগে অনেকে বলেছে, ১০ থেকে ১৫ মিনিট মাথা ঘুরতে পারে। এটা সত্যি। ",0
গর্ভবতীরা টিকা নিলে বিপদ আছে।,0
ভেক্সিন নিলে সংক্রমণের মাত্রা অনেকটা কম হবে নাকি আরও বেড়ে যেতে পারে সেটা আগে সরকারকে আমাদের বুঝাতে হবে।,0
এই যুগে বেঁচে থাকার প্রথম শর্ত হলো হলো ভ্যাকসিন।,1
ভেকসিন নিলে মানসিক ক্ষতি হয়।,0
"ওরে বাঙ্গালি! আদৌ কেউ টিকা নিবেনা, কত অভিনয় দেখলাম টিকা নেওয়া নিয়ে।
 আর এখন হাহুতাশ শুরু করছে!!",0
মেসেঞ্জার আরএনএ  ভ্যাকসিনগুলি কোষকে শেখায় যে কীভাবে একটি প্রোটিন তৈরি করতে হয় যা শরীরের অভ্যন্তরে একটি ইমিউন প্রতিক্রিয়া ট্রিগার করে।,1
নিরাপদ এবং কার্যকর COVID-19 ভ্যাকসিনের বিকাশ মহামারী শেষ করার জন্য আমাদের বিশ্বব্যাপী প্রচেষ্টার একটি বিশাল পদক্ষেপ।,1
ভ্যাকসিনের কাজ শরীরকে ভাইরাস চিনিয়ে দেওয়া এবং তার সঙ্গে লড়াই করতে শরীরের রোগ প্রতিরোধী ব্যবস্থা জাগিয়ে তোলা।,1
কেন্দ্রে কেন্দ্রে সাস্থ্যবিধি মেনে চলছে টিকাদান কর্মসূচি,1
তেমন কিছু হয়নি। প্রথম দুই দিন হাতে ব্যথা এবং হালকা জ্বর ছিল। এখান আলহামদুলিল্লাহ সুস্থ।,1
আমাদের বাঁচানোর জন্য না মারার জন্য বিজ্ঞানীরা টিকা আবিষ্কার করছে তা বুঝবো কিভাবে।,0
বাচ্চাদের টিকা দেওয়ার পর স্কুলে পাঠাবো। ,1
"ভ্যাকসিন নিয়ে অসুস্থ হলে ও কাজ করতে হয় ছুটি নাই, তাই ভ্যাকসিন নেই না।",0
করোনাকে ভয় পেলে দ্রুত সম্ভব টিকা গ্রহণ করুন।,1
টিকা দেওয়ার আগে বা পরে স্তন্যদান বন্ধ করার দরকার নেই।,1
আল্লাহ আমাকে করোনা থেকে বাঁচাবে।,0
ভেকসিন এ মানুষ অমিক্রন এ আক্রান্ত হচ্ছে।,0
আমার মনে হয় আমি প্রথমেই টিকা নিসিলাম বইলাই এখনো করোনা হয় নাই আমার। ,1
ভেকসিন নিলে  মানসিক অশান্তির সৃষ্টি হয়।,0
