Text,Polarity
ম্যাডাম এই টিকাটা ভারতে নাই কেন।ওরা এটা সম্পকে কিছু জানেনই কেন একটু বলেন,0
ভ্যাকসিন নেয়ার পরও আমার বাবার করোনা পজেটিভ এসেছে। এবং তার মাধ্যমে আমার ছোট ছেলের করোনা হয়েছে।তবে বাবার শুধু হালকা জ্বর আর গলা ব্যাথা ছিল। বেশি অসুস্থ হননি।,0
১ম ডোজ নেয়ার পর দের মাস হলো আজোও ২য় ডোজ নেবার এস এম এস আছে নাই,0
আড়াই মাস হয়ে গেল দ্বিতীয় ডোজ টিকা টাই এখনো পেলাম না বুস্টার ডোজ টিকা শুরু হয়ে গেল,0
৫% লোক কিভাবে পাবে টিকা ? যদি দেওয়া হয় রোহিঙ্গাদের টিকা,0
বাংলাদেশ সবসময় ভারতের উপর বেশি নির্ভর করার কারনে এমন বিপদ হয়। তার উদাহারন পেঁয়াজ এ টিকা।,0
টিকাদান রেজিস্ট্রেশন এ কোন বিড়ম্বনা নেই। যেইদিন ডেট পড়বে অইদিন ই আপনি আপনার টিকা গ্রহণ করতে পারবেন। ,1
কারা এই ভ্যাক্সিনেশন করবেন বা কারা বর্তমানে এই টিকা দিচ্ছেন ইউনিসেফ কি সেটা জানেন?????,0
"হাস্পাতালগুলাতে ভ্যাক্সিন দেয়ার জন্য আলাদা স্থান নির্ধারণ করা হয়েছে, যার কারনে কোন রকম বিড়ম্বনা ছাড়াই টিকাদান কর্মসূচি সম্পন্ন হচ্ছে",1
"যাদের রোগ প্রতিরোধ ক্ষমতা ভাল শরীরে, তাদেরও টিকা নেয়া জরুরী। কোভিড সংক্রমণ রোধে সবাই ভ্যাক্সিনেটেড হলেই আমরা শঙ্কামুক্ত হবো।",1
এই মূহুর্তে টিকার মজুদ খুবই দরকার,0
আশ্চর্য ফরমে কোথাও লেখা নেই এটা বুস্টার ডোজ। বরং লেখা আছে ৩য় ডোজ। এতে গ্রহীতা কি বুঝবে।,0
"আমি ফাইযার ভ্যাক্সিন পেয়েছি আলহামদুলিল্লাহ, এখন সব কেন্দ্রে ফাইযারের পর্যাপ্ত সরবরাহ রয়েছে",1
"কি সিদ্ধান্ত মাইরি, টিকার টাকা অগ্রীম নিয়ে যে দেশ টিকা দেয়া বন্ধ রেখেছে, তাদের আমরা পাঠাচ্ছি রেমডিসিভির। বলুন, হ্যাঁ এটাই বাংলাদেশ আর এটাই বাংলাদেশের সৌন্দর্য",0
মৃত্যু যেখানে নিশ্চিত টিকা সেখানে অর্বাচীন,0
"গবেষণায় পাওয়া গেছে ফাইজার, মডোরনা টিকা করোনার বিরুদ্ধে সবচেয়ে কার্যকর টিকা।",1
"তিন বার লাইনে দাঁড়িয়ে থেকে টিকা পাই নাই।
কারন লাইনের বাহিরে দলিয় লোক জন
অ নিয়মবহির্ভূত ভাবে টিকা নিয়ে নেয়।
আমার মতো জারা নিরীহ মানুষ তারা আর টিকা পায় নাই।",0
এই টিকা থেকে কিছু টিকা ফ্রিতে দেওয়া হবে আর বাকি টিকা টাকার বিনিময়ে দেওয়া হবে এটাই হতে পারে স্বাস্থ্য মন্ত্রণালয়ের পরিকল্পনা।,0
কাকে দিবে টিকা বড় লোক,0
কোভিড ভ্যাক্সিন আপনার শরীরে ইমিউনিটি বৃদ্ধি করে।,1
১৮'কোটি জনসংখ্যা মিনিমাম ১৩কোটি ভেকসিনের আওতা আনা দরকার,1
